zip_code,year,quarter,sewer_overflow_incidents
21801,2023,1,1
21801,2023,2,1
21801,2023,4,2
21801,2024,1,1
21801,2024,4,1
21801,2025,2,1
21801,2026,1,1
21804,2023,2,1
21804,2023,3,1
21804,2023,4,1
21804,2024,1,1
21811,2023,1,1
21811,2023,3,5
21811,2023,4,3
21811,2024,1,6
21811,2024,2,2
21811,2024,3,4
21811,2024,4,3
21811,2025,1,8
21811,2025,3,1
21811,2025,4,1
21811,2026,1,2
21817,2023,2,1
21817,2024,1,6
21817,2024,2,4
21817,2024,3,5
21817,2025,2,3
21817,2025,3,5
21817,2025,4,4
21826,2023,2,2
21826,2023,4,1
21826,2024,1,1
21826,2024,2,1
21835,2023,1,1
21835,2025,2,1
21835,2025,4,1
21842,2023,4,1
21842,2024,3,1
21851,2023,2,1
21851,2023,3,1
21853,2023,4,4
21853,2024,1,5
21853,2024,2,1
21853,2025,1,1
21861,2023,3,1
21863,2024,2,2
21867,2023,4,1
21871,2024,1,1
21872,2023,3,1
21872,2025,2,2
21890,2024,4,1
21901,2024,1,2
21901,2024,2,3
21903,2023,2,2
21903,2023,4,3
21903,2024,1,2
21903,2025,1,1
21903,2025,3,1
21904,2024,1,1
21904,2024,4,1
21913,2024,2,1
21914,2024,1,2
21914,2025,4,1
21915,2023,4,1
21915,2024,1,2
21915,2024,2,1
21920,2024,2,1
21921,2023,3,2
21921,2026,1,2
22195,2025,2,1
